_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
30077,2020,Jan-Mar,1046175,6062138,325624,White,M,Aged 45 to 54 years,Not a youth,32,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,30077
30078,2020,Jan-Mar,1013836,6045547,331424,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30078
30079,2021,Apr-June,1010892,6025622,318869,Unknown or Legacy,F,Aged 18 to 24 years,Not a youth,14,,1,Drug Related,,,,,,,None,None,None,None,None,30079
30080,2020,Jan-Mar,1002054,6041332,336809,White,M,Aged 25 to 34 years,Not a youth,XX,,,Other Offence,,,,,,1,None,None,None,None,None,30080
30081,2021,Jan-Mar,1050975,6052121,336809,White,M,Aged 25 to 34 years,Not a youth,22,,,Assault,,,,,,,None,None,None,None,None,30081
30082,2021,Oct-Dec,1032961,6059186,336809,White,M,Aged 25 to 34 years,Not a youth,XX,,,Drug Related,,,,,,,None,None,None,None,None,30082
30083,2021,Oct-Dec,1033646,6007304,336809,White,M,Aged 25 to 34 years,Not a youth,XX,,,Police Category - Administrative,,,,,,1,None,None,None,None,None,30083
30084,2021,Oct-Dec,1028315,6032826,336809,White,M,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,30084
30085,2021,Jan-Mar,1059617,6062372,301748,White,M,Aged 25 to 34 years,Not a youth,XX,,,Assault,,1,,1,,,None,None,None,None,None,30085
30086,2021,Apr-June,1005602,6016474,314358,White,F,Aged 18 to 24 years,Not a youth,XX,,,Assault,,,,,,1,None,None,None,None,None,30086
30087,2021,Apr-June,1019374,6012521,322040,White,F,Aged 35 to 44 years,Not a youth,12,,,Assault,,,,,,,None,None,None,None,None,30087
30088,2021,Oct-Dec,1031767,6008002,328743,Middle-Eastern,M,Aged 45 to 54 years,Not a youth,41,,,Assault,,,,,,,None,None,None,None,None,30088
30089,2021,Jan-Mar,1001462,6015585,333697,White,F,Aged 45 to 54 years,Not a youth,13,,1,Impaired,,,,,,1,None,None,None,None,None,30089
30090,2020,July-Sept,1010128,6013229,303197,South Asian,M,Aged 45 to 54 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30090
30091,2021,Oct-Dec,1002283,6061406,315531,Middle-Eastern,M,Aged 35 to 44 years,Not a youth,41,,1,Impaired,,,,,,,None,None,None,None,None,30091
30092,2021,Jan-Mar,1052111,6030190,331161,White,M,Aged 45 to 54 years,Not a youth,31,,1,Harassment/Threatening,,,,,,1,None,None,None,None,None,30092
30093,2021,July-Sept,1051933,6054444,331161,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,1,Assault,,,,,,,None,None,None,None,None,30093
30094,2021,Oct-Dec,1035256,6057798,320092,Middle-Eastern,F,Aged 25 to 34 years,Not a youth,41,,1,Impaired,,,,,,,None,None,None,None,None,30094
30095,2021,Apr-June,1018657,6043447,321782,White,M,Aged 18 to 24 years,Not a youth,43,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,30095
30096,2020,Oct-Dec,1029366,6028402,327086,Black,M,Aged 45 to 54 years,Not a youth,XX,,,Other Statute & Other Incident Type,,,,,,1,None,None,None,None,None,30096
30097,2020,July-Sept,1013991,6041615,317109,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Other Offence,,,,,,1,None,None,None,None,None,30097
30098,2021,July-Sept,1053303,6038793,317109,Black,M,Aged 18 to 24 years,Not a youth,31,,1,Assault,,,,,,1,None,None,None,None,None,30098
30099,2020,July-Sept,1023681,6047714,312192,South Asian,M,Aged 18 to 24 years,Not a youth,43,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30099
30100,2021,July-Sept,1014631,6015340,312192,East/Southeast Asian,M,Aged 18 to 24 years,Not a youth,14,,1,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,30100
30101,2020,Apr-June,1021028,6051567,300662,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,,,,,None,None,None,None,None,30101
30102,2020,Jan-Mar,1034769,6005473,335392,White,M,Aged 35 to 44 years,Not a youth,43,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30102
30103,2021,Jan-Mar,1000218,6009434,335392,White,M,Aged 35 to 44 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,30103
30104,2020,Apr-June,1046874,6030224,300407,East/Southeast Asian,M,Aged 45 to 54 years,Not a youth,XX,,,Harassment & Threatening,,,,,,,None,None,None,None,None,30104
30105,2020,Jan-Mar,1013523,6007801,313665,Black,M,Aged 45 to 54 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,30105
30106,2020,Oct-Dec,1004588,6016766,313665,Black,M,Aged 45 to 54 years,Not a youth,51,,1,Harassment & Threatening,,,1,,,,None,None,None,None,None,30106
30107,2021,Oct-Dec,1033464,6000436,313665,Black,M,Aged 45 to 54 years,Not a youth,54,,1,LLA,,,1,,,,None,None,None,None,None,30107
30108,2021,Apr-June,1004022,6002915,317265,White,F,Aged 18 to 24 years,Not a youth,22,,1,Assault,,,1,,,,None,None,None,None,None,30108
30109,2021,July-Sept,1058339,6008923,324161,White,F,Aged 55 to 64 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,30109
30110,2020,Oct-Dec,1050591,6014463,321767,White,M,Aged 18 to 24 years,Not a youth,33,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30110
30111,2021,Apr-June,1038401,6046773,321767,White,M,Aged 18 to 24 years,Not a youth,14,,1,Police Category - Administrative,,,,,,1,None,None,None,None,None,30111
30112,2020,Oct-Dec,1013862,6008294,303049,South Asian,M,Aged 45 to 54 years,Not a youth,XX,,,Harassment & Threatening,,,,,,1,None,None,None,None,None,30112
30113,2020,Jan-Mar,1038930,6017191,325643,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,51,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30113
30114,2021,July-Sept,1019567,6005409,328934,East/Southeast Asian,M,Aged 25 to 34 years,Not a youth,12,,,Assault,,,1,,,,None,None,None,None,None,30114
30115,2021,Oct-Dec,1042409,6050529,329352,Black,F,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,1,,,,None,None,None,None,None,30115
30116,2020,Jan-Mar,1036338,6033956,330188,Black,M,Aged 17 years and younger,Youth (aged 17 and younger),33,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30116
30117,2020,Jan-Mar,1036338,6021832,300866,Black,M,Aged 17 years and younger,Youth (aged 17 and younger),33,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30117
30118,2021,Oct-Dec,1013689,6039763,319789,South Asian,M,Aged 25 to 34 years,Not a youth,14,,1,Assault,,1,,,,,None,None,None,None,None,30118
30119,2020,Jan-Mar,1030748,6020515,318480,Middle-Eastern,F,Aged 25 to 34 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,30119
30120,2020,July-Sept,1012540,6048696,318480,White,F,Aged 25 to 34 years,Not a youth,43,,1,Assault & Other crimes against persons,,1,,1,,,None,None,None,None,None,30120
30121,2021,Oct-Dec,1044680,6038736,318480,White,F,Aged 25 to 34 years,Not a youth,41,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,30121
30122,2020,Apr-June,1039970,6032732,313757,Black,M,Aged 18 to 24 years,Not a youth,XX,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30122
30123,2021,Jan-Mar,1028918,6044058,313757,Black,M,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,30123
30124,2021,Apr-June,1045904,6012828,314032,White,M,Aged 35 to 44 years,Not a youth,XX,,,LLA,,,,,,,None,None,None,None,None,30124
30125,2021,Oct-Dec,1041859,6029123,309538,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Other Offence,,,,,,,None,None,None,None,None,30125
30126,2021,Oct-Dec,1050477,6026909,309538,Black,M,Aged 25 to 34 years,Not a youth,11,,1,Assault,,,,,,,None,None,None,None,None,30126
30127,2020,July-Sept,1059145,6037845,302324,East/Southeast Asian,M,Aged 25 to 34 years,Not a youth,14,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,30127
30128,2021,July-Sept,1001295,6005960,306853,South Asian,M,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,30128
30129,2021,July-Sept,1026506,6029370,332235,Black,F,Aged 25 to 34 years,Not a youth,XX,,,Other Statute,,,,,,,None,None,None,None,None,30129
30130,2021,Oct-Dec,1011593,6043418,315967,White,M,Aged 65 years and older,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,30130
30131,2021,Apr-June,1009463,6012093,307746,White,M,Aged 18 to 24 years,Not a youth,XX,,1,Sexual Related Crime,,,,,,1,None,None,None,None,None,30131
30132,2021,July-Sept,1016785,6019472,307746,White,M,Aged 18 to 24 years,Not a youth,51,,1,Mischief,,,,,,,None,None,None,None,None,30132
30133,2020,July-Sept,1010923,6032207,330301,Black,M,Aged 45 to 54 years,Not a youth,XX,,,Mischief & Fraud,,,,,,1,None,None,None,None,None,30133
30134,2021,July-Sept,1006480,6063737,301674,White,F,Aged 65 years and older,Not a youth,54,,,Assault,,,,,,1,None,None,None,None,None,30134
